,lat,long,RA,dec,vlos,dist,time_strip
28520,-27.681609654845115,11.480158555291816,299.952481503446,-28.773105680066408,185.16871998310594,27.641874268287474,0.0
28521,-27.711176447665864,11.465161901849305,299.98059470144597,-28.791642759238208,168.392301854583,27.639832588155347,0.0
28522,-27.729493023233566,11.447591295738867,299.99551174728475,-28.80917129468356,156.4943585438438,27.636446706709073,0.0
28523,-27.755908530266233,11.411190761581151,300.01369796093627,-28.84251556755256,217.28736522977593,27.621771118299613,0.0
28524,-27.72382338843922,11.414313449148407,299.97916909739195,-28.83204354661033,221.71832242965584,27.629153182677186,0.0
28525,-27.70658295433747,11.440351160156288,299.96800039665595,-28.80860614285703,121.36061559814544,27.636189469988196,0.0
28526,-27.720014767425106,11.409333976405309,299.97345095562156,-28.834709633596717,207.84825738513788,27.61980444441518,0.0
28527,-27.715243602768577,11.421688174002021,299.97191811302764,-28.824461907781277,211.67486878611015,27.608941093406745,0.0
28528,-27.717261214442505,11.41302861808814,299.9715257365096,-28.831306214077525,162.17525974367305,27.5986479196607,0.0
28529,-27.737270362362434,11.436825290702883,300.0008482784306,-28.819026987274647,133.28432224653167,27.579819668914418,0.0
28530,-27.75547271872069,11.419763927248715,300.01580868790575,-28.836141067978232,184.51152657802368,27.604008847538747,0.0
28531,-27.745913696719295,11.413183429429777,300.0032494420843,-28.838509374178592,185.02952650090091,27.606887751949973,0.0
28532,-27.7686260347272,11.470155790554575,300.0455876573036,-28.80267885263004,173.94801257474947,27.60701674466285,0.0
28533,-27.749373071695523,11.461001147824192,300.02154109505966,-28.804450769632,207.06275898763283,27.605419710557555,0.0
28534,-27.7498730387347,11.469977821422393,300.02481007512574,-28.798017809393993,188.01087137017512,27.616379058660247,0.0
28535,-27.727426080650517,11.461649168320443,299.99748473273286,-28.798367268597858,115.81125845972835,27.61363310068108,0.0
28536,-27.747064556296817,11.458058217725439,300.0180992971681,-28.80601173768295,147.59715850303147,27.60034434693476,0.0
28537,-27.72414334931104,11.493048206173171,300.0033693626689,-28.774572157279792,223.58448826064998,27.612339235116053,0.0
28538,-27.743825810792295,11.497449328923732,300.0264443174719,-28.776390676065084,182.24942295671434,27.603365068377236,0.0
28539,-27.755189410937547,11.464915049616573,300.0291531331539,-28.803076427018503,176.6755002007003,27.58670809385917,0.0
28540,-27.72744229801548,11.492951102282118,300.0069839884204,-28.775487462971874,151.25946342313162,27.597438574513614,0.0
28541,-27.713610958052488,11.498127935089276,299.9932753879736,-28.76816135416706,153.48136481029314,27.60006039055226,0.0
28542,-27.71565826053232,11.487044164445967,299.99217737070023,-28.776790352657315,146.03537088058783,27.587500611551224,0.0
28543,-27.713735162245424,11.46536277124031,299.9834825269254,-28.792150582022273,155.75829150780643,27.585060607518837,0.0
28544,-27.70986904183426,11.462091203714524,299.9782196407858,-28.793553271436345,188.63953888931192,27.59892409709814,0.0
28545,-27.681052622748272,11.475308773265738,299.95039473170834,-28.776510004374174,201.56312513414397,27.598311410581537,0.0
28546,-27.69645720699367,11.4814965710861,299.96928653517733,-28.775930665284793,201.71464308854135,27.601568955757124,0.0
28547,-27.68291075419774,11.463390007551064,299.948831124135,-28.78570260345904,180.13809554733245,27.60920903786982,0.0
28548,-27.71935084803948,11.469891358017467,299.99105907468373,-28.790276485268226,86.7044010074558,27.604868377337432,0.0
28549,-27.70513357169941,11.487333562516861,299.98063982048836,-28.773884117831553,177.86335655090676,27.61788761161952,0.0
28550,-27.68798173399532,11.483748507835188,299.96060839365657,-28.772112695765355,193.0717536718237,27.62237391038739,0.0
28551,-27.708702386920937,11.53715011285839,299.9996865035567,-28.73836347368226,256.3550702143615,27.614354385377464,0.0
28552,-27.68307645473425,11.529265606373489,299.9690044078593,-28.737559374406434,217.7017134266979,27.61379287800085,0.0
28553,-27.688529317111374,11.501890071202068,299.9667170220613,-28.75898405739024,195.80818389595154,27.607637481867034,0.0
28554,-27.688922273208657,11.522543575049914,299.9734178737214,-28.743976630340427,186.58569900813674,27.593414408767032,0.0
28555,-27.68954997663577,11.517458252524067,299.9725677581591,-28.74785772327626,189.85723974356992,27.59494394708812,0.0
28556,-27.684556413511988,11.514485258305882,299.96615221730804,-28.748752100540514,159.86335665646146,27.601252419406972,0.0
28557,-27.758298731748738,11.549412333992384,300.05816089591457,-28.742102028434157,193.14833698127936,27.5990484915423,0.0
28558,-27.749042971389233,11.551456684619726,300.0485602610657,-28.73823691652046,117.35479802234428,27.592236817286174,0.0
28559,-27.740845642577977,11.52489757864,300.03146466682733,-28.755559458064496,143.12368451514774,27.617459550934367,0.0
28560,-27.733497289343997,11.527729316656211,300.0242076396548,-28.75160715257581,215.0972991659271,27.61990905272227,0.0
28561,-27.718783831773443,11.570093217650259,300.0208052819992,-28.716849379073707,202.8849231234645,27.613261620368025,0.0
28562,-27.73758176390107,11.583549173402861,300.0456314532354,-28.71182662975951,171.10981152592993,27.585768653047047,0.0
28563,-27.717200846829634,11.563822361647835,300.01715645797793,-28.721031014302547,174.2942761253984,27.588122222380903,0.0
28564,-27.696845807527616,11.595865716715604,300.00441699784244,-28.692359433514493,170.11550341933213,27.589484882112586,0.0
28565,-27.705845943201336,11.556723032533867,300.00247018560606,-28.723312221219437,220.55935950229045,27.590456771226275,0.0
28566,-27.676253010088654,11.56044345492421,299.97093965889064,-28.712994100372125,183.39297410576523,27.59944703036871,0.0
28567,-27.68354708218732,11.593249822355208,299.9889512400439,-28.690857261218156,177.8714366529223,27.613224192349787,0.0
28568,-27.71045001062122,11.574265252745592,300.01287316466426,-28.711658841764113,202.6586957565955,27.614746231964993,0.0
28569,-27.694246831743694,11.541640026012868,299.9850907867511,-28.731371625329896,197.58034075552865,27.622949511809487,0.0
28570,-27.680929749967163,11.546388575397845,299.9718330421577,-28.724479955459874,178.10400463567333,27.632409741664507,0.0
28571,-27.69113361615152,11.539681147117422,299.98105981310465,-28.732006116662816,188.36722975244965,27.64048680868679,0.0
28572,-27.68662255351227,11.557395302867496,299.98145760012795,-28.717887216827343,255.06273013882225,27.646279981532352,0.0
28573,-27.683950270712806,11.56933254547429,299.9821329174352,-28.70846557264038,211.08868778003506,27.652145566440762,0.0
28574,-27.691307980242815,11.56439108605448,299.98875208421384,-28.713970851565303,132.6800663895511,27.648168034102454,0.0
